shipment_id,order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,status,delay_days
SHP-8491,ORD-5491,Apex Logistics,TRK-79786819,2026-09-12,2026-09-15,,In Transit,0
SHP-8492,ORD-5492,FedEx Freight,TRK-65196875,2026-08-13,2026-08-16,2026-08-16,Delivered,0
SHP-8493,ORD-5493,FedEx Freight,TRK-93134088,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8494,ORD-5494,FedEx Freight,TRK-21594582,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8495,ORD-5495,UPS Freight,TRK-95735668,2026-09-12,2026-09-15,,In Transit,0
SHP-8496,ORD-5496,UPS Freight,TRK-54648162,2026-08-19,2026-08-22,2026-08-22,Delivered,0
SHP-8497,ORD-5497,Swift Transport,TRK-62698503,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8498,ORD-5498,Apex Logistics,TRK-69268093,2026-09-12,2026-09-15,,In Transit,0
SHP-8499,ORD-5499,Swift Transport,TRK-43634472,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8500,ORD-5500,Old Dominion,TRK-62523472,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8501,ORD-5501,UPS Freight,TRK-74701849,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8502,ORD-5502,FedEx Freight,TRK-71691749,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8503,ORD-5503,Apex Logistics,TRK-50113698,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8504,ORD-5504,FedEx Freight,TRK-35916466,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8505,ORD-5505,FedEx Freight,TRK-14971784,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8506,ORD-5506,Apex Logistics,TRK-97758252,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8507,ORD-5507,FedEx Freight,TRK-73246028,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8508,ORD-5508,Old Dominion,TRK-71228059,2026-09-10,2026-09-13,,In Transit,0
SHP-8509,ORD-5509,UPS Freight,TRK-89856515,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8510,ORD-5510,Apex Logistics,TRK-53163063,2026-08-14,2026-08-17,2026-08-24,Delayed,7
SHP-8511,ORD-5511,Apex Logistics,TRK-65721070,2026-08-13,2026-08-16,2026-08-16,Delivered,0
SHP-8512,ORD-5512,Apex Logistics,TRK-12097866,2026-09-06,2026-09-09,2026-09-16,Delayed,7
SHP-8513,ORD-5513,FedEx Freight,TRK-97477181,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8514,ORD-5514,Apex Logistics,TRK-33427561,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8515,ORD-5515,Old Dominion,TRK-56688115,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8516,ORD-5516,Swift Transport,TRK-58573570,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8517,ORD-5517,FedEx Freight,TRK-36000523,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8518,ORD-5518,Apex Logistics,TRK-68340640,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8519,ORD-5519,Apex Logistics,TRK-31212522,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8520,ORD-5520,UPS Freight,TRK-89551741,2026-08-03,2026-08-06,2026-08-06,Delivered,0
SHP-8521,ORD-5521,UPS Freight,TRK-36837617,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8522,ORD-5522,Old Dominion,TRK-28307917,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8523,ORD-5523,Swift Transport,TRK-18006318,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8524,ORD-5524,Swift Transport,TRK-84189605,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8525,ORD-5525,UPS Freight,TRK-43105363,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8526,ORD-5526,UPS Freight,TRK-15935671,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8527,ORD-5527,UPS Freight,TRK-74326441,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8528,ORD-5528,Old Dominion,TRK-42086411,2026-08-08,2026-08-11,2026-08-11,Delivered,0
SHP-8529,ORD-5529,UPS Freight,TRK-64406548,2026-09-13,2026-09-16,,In Transit,0
SHP-8530,ORD-5530,UPS Freight,TRK-46210517,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8531,ORD-5531,Swift Transport,TRK-16920612,2026-09-10,2026-09-13,,In Transit,1
SHP-8532,ORD-5532,FedEx Freight,TRK-85263692,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8533,ORD-5533,Swift Transport,TRK-38158070,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8534,ORD-5534,Old Dominion,TRK-56335527,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8535,ORD-5535,Swift Transport,TRK-81518649,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8536,ORD-5536,Apex Logistics,TRK-48704726,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8537,ORD-5537,Swift Transport,TRK-94191586,2026-08-08,2026-08-11,2026-08-11,Delivered,0
SHP-8538,ORD-5538,FedEx Freight,TRK-41182544,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8539,ORD-5539,Swift Transport,TRK-99369591,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8540,ORD-5540,UPS Freight,TRK-59915883,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8541,ORD-5541,Swift Transport,TRK-48285148,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8542,ORD-5542,UPS Freight,TRK-59616555,2026-09-13,2026-09-16,,In Transit,1
SHP-8543,ORD-5543,Apex Logistics,TRK-60051795,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8544,ORD-5544,Old Dominion,TRK-30945115,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8545,ORD-5545,UPS Freight,TRK-55457454,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8546,ORD-5546,Swift Transport,TRK-25686844,2026-08-09,2026-08-12,2026-08-12,Delivered,0
SHP-8547,ORD-5547,Old Dominion,TRK-13026428,2026-09-10,2026-09-13,,In Transit,0
SHP-8548,ORD-5548,Apex Logistics,TRK-75829146,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8549,ORD-5549,UPS Freight,TRK-61823158,2026-09-09,2026-09-12,,In Transit,1
SHP-8550,ORD-5550,UPS Freight,TRK-65782199,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8551,ORD-5551,Apex Logistics,TRK-50698994,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8552,ORD-5552,FedEx Freight,TRK-10888369,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8553,ORD-5553,Old Dominion,TRK-15668405,2026-09-11,2026-09-14,,In Transit,1
SHP-8554,ORD-5554,Apex Logistics,TRK-45255913,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8555,ORD-5555,Old Dominion,TRK-18955654,2026-09-11,2026-09-14,,In Transit,1
SHP-8556,ORD-5556,Swift Transport,TRK-87210585,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8557,ORD-5557,UPS Freight,TRK-28186152,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8558,ORD-5558,Swift Transport,TRK-95757950,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8559,ORD-5559,Old Dominion,TRK-46434606,2026-09-11,2026-09-14,,In Transit,1
SHP-8560,ORD-5560,UPS Freight,TRK-65296966,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8561,ORD-5561,Swift Transport,TRK-92332960,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8562,ORD-5562,Old Dominion,TRK-28658140,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8563,ORD-5563,Apex Logistics,TRK-29107146,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8564,ORD-5564,FedEx Freight,TRK-20433455,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8565,ORD-5565,FedEx Freight,TRK-98555359,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8566,ORD-5566,FedEx Freight,TRK-90771151,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8567,ORD-5567,Old Dominion,TRK-87812909,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8568,ORD-5568,Swift Transport,TRK-11876942,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8569,ORD-5569,Swift Transport,TRK-73715236,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8570,ORD-5570,UPS Freight,TRK-25145863,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8571,ORD-5571,FedEx Freight,TRK-21039132,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8572,ORD-5572,Swift Transport,TRK-64664494,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8573,ORD-5573,Old Dominion,TRK-34064874,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8574,ORD-5574,Swift Transport,TRK-98388851,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8575,ORD-5575,Apex Logistics,TRK-18685284,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8576,ORD-5576,Old Dominion,TRK-96413557,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8577,ORD-5577,UPS Freight,TRK-94338531,2026-09-13,2026-09-16,,In Transit,0
SHP-8578,ORD-5578,FedEx Freight,TRK-34037816,2026-08-03,2026-08-06,2026-08-06,Delivered,0
SHP-8579,ORD-5579,UPS Freight,TRK-37102821,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8580,ORD-5580,FedEx Freight,TRK-70413482,2026-09-13,2026-09-16,,In Transit,1
SHP-8581,ORD-5581,UPS Freight,TRK-28050706,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8582,ORD-5582,UPS Freight,TRK-98594248,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8583,ORD-5583,Swift Transport,TRK-60707149,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8584,ORD-5584,Old Dominion,TRK-88378721,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8585,ORD-5585,Apex Logistics,TRK-96984204,2026-09-11,2026-09-14,,In Transit,0
SHP-8586,ORD-5586,Old Dominion,TRK-32787384,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8587,ORD-5587,UPS Freight,TRK-86242300,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8588,ORD-5588,FedEx Freight,TRK-52481834,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8589,ORD-5589,UPS Freight,TRK-77480448,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8590,ORD-5590,UPS Freight,TRK-81918425,2026-09-13,2026-09-16,,In Transit,0
SHP-8591,ORD-5591,UPS Freight,TRK-40317902,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8592,ORD-5592,Old Dominion,TRK-19028796,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8593,ORD-5593,Swift Transport,TRK-52057523,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8594,ORD-5594,FedEx Freight,TRK-94267786,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8595,ORD-5595,Apex Logistics,TRK-80097837,2026-09-04,2026-09-07,2026-09-12,Delayed,5
SHP-8596,ORD-5596,UPS Freight,TRK-52768905,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8597,ORD-5597,Apex Logistics,TRK-44419684,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8598,ORD-5598,UPS Freight,TRK-85138440,2026-08-09,2026-08-12,2026-08-12,Delivered,0
SHP-8599,ORD-5599,Old Dominion,TRK-98405286,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8600,ORD-5600,Old Dominion,TRK-90745350,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8601,ORD-5601,Apex Logistics,TRK-41680907,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8602,ORD-5602,Swift Transport,TRK-80499222,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8603,ORD-5603,Swift Transport,TRK-62338292,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8604,ORD-5604,Old Dominion,TRK-68985391,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8605,ORD-5605,Old Dominion,TRK-25161415,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8606,ORD-5606,FedEx Freight,TRK-96623797,2026-09-05,2026-09-08,2026-09-08,Delivered,0
SHP-8607,ORD-5607,Old Dominion,TRK-26381779,2026-09-09,2026-09-12,,In Transit,1
SHP-8608,ORD-5608,Apex Logistics,TRK-68900892,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8609,ORD-5609,UPS Freight,TRK-23474864,2026-08-22,2026-08-25,2026-08-25,Delivered,0
SHP-8610,ORD-5610,Swift Transport,TRK-83514771,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8611,ORD-5611,UPS Freight,TRK-36853654,2026-08-03,2026-08-06,2026-08-06,Delivered,0
SHP-8612,ORD-5612,UPS Freight,TRK-52869025,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8613,ORD-5613,FedEx Freight,TRK-65632768,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8614,ORD-5614,Swift Transport,TRK-94104500,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8615,ORD-5615,UPS Freight,TRK-92947099,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8616,ORD-5616,UPS Freight,TRK-76323560,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8617,ORD-5617,Apex Logistics,TRK-67889258,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8618,ORD-5618,Apex Logistics,TRK-64831176,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8619,ORD-5619,Swift Transport,TRK-96870487,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8620,ORD-5620,UPS Freight,TRK-90154282,2026-09-01,2026-09-04,2026-09-04,Delivered,0
SHP-8621,ORD-5621,Apex Logistics,TRK-73207479,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8622,ORD-5622,Old Dominion,TRK-59781518,2026-09-09,2026-09-12,,In Transit,1
SHP-8623,ORD-5623,Old Dominion,TRK-72825287,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8624,ORD-5624,Old Dominion,TRK-67725168,2026-08-07,2026-08-10,2026-08-10,Delivered,0
SHP-8625,ORD-5625,Swift Transport,TRK-98237348,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8626,ORD-5626,FedEx Freight,TRK-73115555,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8627,ORD-5627,UPS Freight,TRK-76167803,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8628,ORD-5628,Swift Transport,TRK-46613462,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8629,ORD-5629,Apex Logistics,TRK-65890810,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8630,ORD-5630,FedEx Freight,TRK-53424580,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8631,ORD-5631,Swift Transport,TRK-70814320,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8632,ORD-5632,FedEx Freight,TRK-19492426,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8633,ORD-5633,Apex Logistics,TRK-21970652,2026-09-09,2026-09-12,,In Transit,1
SHP-8634,ORD-5634,Old Dominion,TRK-91002225,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8635,ORD-5635,Apex Logistics,TRK-75716091,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8636,ORD-5636,Swift Transport,TRK-35012256,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8637,ORD-5637,UPS Freight,TRK-96920825,2026-09-11,2026-09-14,,In Transit,0
SHP-8638,ORD-5638,UPS Freight,TRK-20627779,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8639,ORD-5639,Swift Transport,TRK-20272020,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8640,ORD-5640,Swift Transport,TRK-12183547,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8641,ORD-5641,Old Dominion,TRK-88813775,2026-09-13,2026-09-16,,In Transit,1
SHP-8642,ORD-5642,Swift Transport,TRK-44805028,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8643,ORD-5643,FedEx Freight,TRK-11785713,2026-08-08,2026-08-11,2026-08-11,Delivered,0
SHP-8644,ORD-5644,Apex Logistics,TRK-11862394,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8645,ORD-5645,Apex Logistics,TRK-97206603,2026-08-09,2026-08-12,2026-08-12,Delivered,0
SHP-8646,ORD-5646,UPS Freight,TRK-25630838,2026-09-11,2026-09-14,,In Transit,0
SHP-8647,ORD-5647,UPS Freight,TRK-16834659,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8648,ORD-5648,UPS Freight,TRK-41125867,2026-09-11,2026-09-14,,In Transit,1
SHP-8649,ORD-5649,Old Dominion,TRK-84256721,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8650,ORD-5650,Old Dominion,TRK-72980385,2026-09-12,2026-09-15,,In Transit,0
SHP-8651,ORD-5651,UPS Freight,TRK-27603804,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8652,ORD-5652,UPS Freight,TRK-27327046,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8653,ORD-5653,FedEx Freight,TRK-58155542,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8654,ORD-5654,UPS Freight,TRK-25296699,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8655,ORD-5655,Swift Transport,TRK-91106361,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8656,ORD-5656,Swift Transport,TRK-24148036,2026-08-08,2026-08-11,2026-08-11,Delivered,0
SHP-8657,ORD-5657,UPS Freight,TRK-23327047,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8658,ORD-5658,UPS Freight,TRK-48488047,2026-09-12,2026-09-15,,In Transit,1
SHP-8659,ORD-5659,Swift Transport,TRK-66602596,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8660,ORD-5660,Swift Transport,TRK-19339029,2026-08-29,2026-09-01,2026-09-01,Delivered,0
SHP-8661,ORD-5661,FedEx Freight,TRK-94772931,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8662,ORD-5662,Old Dominion,TRK-64215650,2026-09-13,2026-09-16,,In Transit,0
SHP-8663,ORD-5663,UPS Freight,TRK-79856260,2026-09-12,2026-09-15,,In Transit,0
SHP-8664,ORD-5664,Old Dominion,TRK-79972515,2026-08-20,2026-08-23,2026-08-23,Delivered,0
SHP-8665,ORD-5665,Apex Logistics,TRK-66739991,2026-09-11,2026-09-14,,In Transit,1
SHP-8666,ORD-5666,FedEx Freight,TRK-70228445,2026-08-09,2026-08-12,2026-08-12,Delivered,0
SHP-8667,ORD-5667,Apex Logistics,TRK-57021454,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8668,ORD-5668,Old Dominion,TRK-79316990,2026-09-07,2026-09-10,2026-09-10,Delivered,0
SHP-8669,ORD-5669,Apex Logistics,TRK-73921605,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8670,ORD-5670,UPS Freight,TRK-69066531,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8671,ORD-5671,UPS Freight,TRK-27365785,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8672,ORD-5672,UPS Freight,TRK-14376489,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8673,ORD-5673,Swift Transport,TRK-48868189,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8674,ORD-5674,Apex Logistics,TRK-89138026,2026-08-09,2026-08-12,2026-08-12,Delivered,0
SHP-8675,ORD-5675,FedEx Freight,TRK-83489212,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8676,ORD-5676,Swift Transport,TRK-27825403,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8677,ORD-5677,UPS Freight,TRK-41248877,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8678,ORD-5678,Old Dominion,TRK-96693449,2026-08-27,2026-08-30,2026-08-30,Delivered,0
SHP-8679,ORD-5679,Apex Logistics,TRK-93041052,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8680,ORD-5680,Apex Logistics,TRK-12546591,2026-08-05,2026-08-08,2026-08-15,Delayed,7
SHP-8681,ORD-5681,Old Dominion,TRK-63928396,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8682,ORD-5682,Apex Logistics,TRK-65691824,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8683,ORD-5683,Swift Transport,TRK-32569515,2026-08-26,2026-08-29,2026-08-29,Delivered,0
SHP-8684,ORD-5684,Swift Transport,TRK-53659778,2026-08-11,2026-08-14,2026-08-14,Delivered,0
SHP-8685,ORD-5685,FedEx Freight,TRK-37187070,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8686,ORD-5686,UPS Freight,TRK-13879756,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8687,ORD-5687,Apex Logistics,TRK-50884443,2026-09-11,2026-09-14,,In Transit,0
SHP-8688,ORD-5688,Apex Logistics,TRK-60104178,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8689,ORD-5689,Apex Logistics,TRK-10072871,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8690,ORD-5690,Old Dominion,TRK-63056925,2026-09-09,2026-09-12,,In Transit,0
SHP-8691,ORD-5691,Old Dominion,TRK-95251058,2026-08-09,2026-08-12,2026-08-12,Delivered,0
SHP-8692,ORD-5692,Apex Logistics,TRK-96764149,2026-08-19,2026-08-22,2026-08-22,Delivered,0
SHP-8693,ORD-5693,Swift Transport,TRK-20891605,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8694,ORD-5694,UPS Freight,TRK-11131640,2026-09-13,2026-09-16,,In Transit,0
SHP-8695,ORD-5695,FedEx Freight,TRK-47733231,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8696,ORD-5696,Old Dominion,TRK-39681939,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8697,ORD-5697,Swift Transport,TRK-38063091,2026-09-02,2026-09-05,2026-09-05,Delivered,0
SHP-8698,ORD-5698,Swift Transport,TRK-90929605,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8699,ORD-5699,Swift Transport,TRK-40596967,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8700,ORD-5700,Old Dominion,TRK-85177493,2026-09-04,2026-09-07,2026-09-07,Delivered,0
SHP-8701,ORD-5701,UPS Freight,TRK-58515929,2026-08-31,2026-09-03,2026-09-03,Delivered,0
SHP-8702,ORD-5702,Swift Transport,TRK-70245170,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8703,ORD-5703,Apex Logistics,TRK-66884191,2026-08-14,2026-08-17,2026-08-17,Delivered,0
SHP-8704,ORD-5704,FedEx Freight,TRK-89528133,2026-08-12,2026-08-15,2026-08-15,Delivered,0
SHP-8705,ORD-5705,Apex Logistics,TRK-19785926,2026-08-08,2026-08-11,2026-08-11,Delivered,0
SHP-8706,ORD-5706,FedEx Freight,TRK-60653117,2026-08-30,2026-09-02,2026-09-02,Delivered,0
SHP-8707,ORD-5707,Old Dominion,TRK-91971952,2026-08-06,2026-08-09,2026-08-09,Delivered,0
SHP-8708,ORD-5708,UPS Freight,TRK-22862118,2026-08-05,2026-08-08,2026-08-08,Delivered,0
SHP-8709,ORD-5709,UPS Freight,TRK-55582551,2026-09-09,2026-09-12,,In Transit,0
SHP-8710,ORD-5710,FedEx Freight,TRK-89575878,2026-08-03,2026-08-06,2026-08-06,Delivered,0
SHP-8711,ORD-5711,Apex Logistics,TRK-15915081,2026-09-11,2026-09-14,,In Transit,0
SHP-8712,ORD-5712,UPS Freight,TRK-51429578,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8713,ORD-5713,FedEx Freight,TRK-66648087,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8714,ORD-5714,UPS Freight,TRK-87632976,2026-09-11,2026-09-14,,In Transit,1
SHP-8715,ORD-5715,UPS Freight,TRK-39448158,2026-08-23,2026-08-26,2026-08-26,Delivered,0
SHP-8716,ORD-5716,Apex Logistics,TRK-74524663,2026-08-02,2026-08-05,2026-08-05,Delivered,0
SHP-8717,ORD-5717,Old Dominion,TRK-14028892,2026-08-15,2026-08-18,2026-08-18,Delivered,0
SHP-8718,ORD-5718,Apex Logistics,TRK-36551621,2026-08-09,2026-08-12,2026-08-12,Delivered,0
SHP-8719,ORD-5719,Old Dominion,TRK-23581521,2026-08-18,2026-08-21,2026-08-21,Delivered,0
SHP-8720,ORD-5720,Old Dominion,TRK-71230621,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8721,ORD-5721,FedEx Freight,TRK-25903904,2026-08-25,2026-08-28,2026-08-28,Delivered,0
SHP-8722,ORD-5722,Swift Transport,TRK-67651904,2026-08-10,2026-08-13,2026-08-13,Delivered,0
SHP-8723,ORD-5723,FedEx Freight,TRK-26972976,2026-09-10,2026-09-13,,In Transit,1
SHP-8724,ORD-5724,UPS Freight,TRK-96580039,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8725,ORD-5725,UPS Freight,TRK-73586743,2026-09-03,2026-09-06,2026-09-06,Delivered,0
SHP-8726,ORD-5726,Apex Logistics,TRK-70677159,2026-09-08,2026-09-11,2026-09-11,Delivered,0
SHP-8727,ORD-5727,Apex Logistics,TRK-60211839,2026-08-17,2026-08-20,2026-08-20,Delivered,0
SHP-8728,ORD-5728,Old Dominion,TRK-40893911,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8729,ORD-5729,UPS Freight,TRK-52549761,2026-08-04,2026-08-07,2026-08-07,Delivered,0
SHP-8730,ORD-5730,Apex Logistics,TRK-49529512,2026-08-13,2026-08-16,2026-08-22,Delayed,6
SHP-8731,ORD-5731,Old Dominion,TRK-54190018,2026-09-12,2026-09-15,,In Transit,0
SHP-8732,ORD-5732,FedEx Freight,TRK-50194740,2026-08-21,2026-08-24,2026-08-24,Delivered,0
SHP-8733,ORD-5733,Apex Logistics,TRK-38168948,2026-08-24,2026-08-27,2026-08-27,Delivered,0
SHP-8734,ORD-5734,UPS Freight,TRK-70394210,2026-08-16,2026-08-19,2026-08-19,Delivered,0
SHP-8735,ORD-5735,Old Dominion,TRK-55610169,2026-09-06,2026-09-09,2026-09-09,Delivered,0
SHP-8736,ORD-5736,Apex Logistics,TRK-54325475,2026-08-28,2026-08-31,2026-08-31,Delivered,0
SHP-8737,ORD-5737,Old Dominion,TRK-95765571,2026-09-11,2026-09-14,,In Transit,1
